Seq;Gruppe;Team1;Team1;Datum
1;A;Ita;Tur;12.06.2020
2;A;Wal;Sui;13.06.2020
3;B;Den;Fin;13.06.2020
4;B;Bel;Rus;13.06.2020
5;D;Eng;Cro;14.06.2020
6;C;Aut;Geo;14.06.2020
7;C;Ned;Ukr;14.06.2020
8;D;Srb;Cze;15.06.2020
9;E;Pol;Irl;15.06.2020
10;E;Esp;Swe;15.06.2020
11;F;Hun;Por;16.06.2020
12;F;Fra;Ger;16.06.2020
13;B;Fin;Rus;17.06.2020
14;A;Tur;Wal;17.06.2020
15;A;Ita;Sui;17.06.2020
16;C;Ukr;Geo;18.06.2020
17;B;Den;Bel;18.06.2020
18;C;Ned;Aut;18.06.2020
19;E;Swe;Irl;19.06.2020
20;D;Cro;Cze;19.06.2020
21;D;Eng;Srb;19.06.2020
22;F;Fra;Hun;20.06.2020
23;F;Por;Ger;20.06.2020
24;E;Esp;Pol;20.06.2020
25;A;Ita;Wal;21.06.2020
26;A;Sui;Tur;21.06.2020
27;C;Ukr;Aut;22.06.2020
28;C;Geo;Ned;22.06.2020
29;B;Fin;Bel;22.06.2020
30;B;Rus;Den;22.06.2020
31;D;Cro;Srb;23.06.2020
32;D;Cze;Eng;23.06.2020
33;E;Swe;Pol;24.06.2020
34;E;Irl;Esp;24.06.2020
35;F;Por;Fra;24.06.2020
36;F;Ger;Hun;24.06.2020
